,Number,Player,Prices_TwoPlusTry,Website
251,14,Matthew Arthur,91,Sportsbet
252,15,Tyrone Thompson,91,Sportsbet
253,16,Jermaine McEwen,91,Sportsbet
254,17,Matt Croker,101,Sportsbet
255,1,Jahream Bula,9.75,Sportsbet
256,2,Sunia Turuva,4.9,Sportsbet
257,3,Adam Doueihi,16,Sportsbet
258,4,Starford To'a,14,Sportsbet
259,5,Jeral Skelton,6,Sportsbet
260,6,Lachlan Galvin,23,Sportsbet
261,7,Jarome Luai,34,Sportsbet
262,8,Terrell May,61,Sportsbet
263,9,Apisai Koroisau,21,Sportsbet
264,10,Fonua Pole,81,Sportsbet
265,11,Samuela Fainu,26,Sportsbet
266,12,Alex Seyfarth,46,Sportsbet
267,13,Alex Twal,101,Sportsbet
268,14,Tallyn Da Silva,91,Sportsbet
269,15,Royce Hunt,81,Sportsbet
270,16,Jack Bird,41,Sportsbet
271,17,Sione Fainu,101,Sportsbet
